[2025-07-31T17:47:37.998Z] ERROR: ERROR: POST /api/admin/login | User: Guest | AccountType: N/A | Message: handleErrorResponse is not a function
[2025-09-01T00:52:16.053Z] ERROR: GET /api/bookmark | Status: 500 | User: 68b4ee3a9841720bc89c949a | AccountType: user | Message: next is not a function
[2025-09-01T00:52:16.054Z] ERROR: GET /api/bookmark | Status: 500 | User: 68b4ee3aa93d47721967667a | AccountType: user | Message: next is not a function
[2025-09-01T00:52:16.071Z] ERROR: GET /api/bookmark | Status: 500 | User: 68b4ee3a728438cdc7369d95 | AccountType: user | Message: next is not a function
[2025-09-01T00:52:16.066Z] ERROR: GET /api/bookmark | Status: 500 | User: 68b4ee3a9841720bc89c9495 | AccountType: user | Message: next is not a function
[2025-09-01T00:52:16.092Z] ERROR: GET /api/reviews/vendor/12345 | Status: 500 | User: 68b4ee3aa93d477219676678 | AccountType: user | Message: next is not a function
[2025-09-01T00:52:16.080Z] ERROR: GET /api/reviews/vendor/12345 | Status: 500 | User: 68b4ee3a728438cdc7369d99 | AccountType: user | Message: next is not a function
[2025-09-01T00:52:16.145Z] ERROR: GET /api/reviews/vendor/12345 | Status: 500 | User: 68b4ee3aa93d47721967667a | AccountType: user | Message: next is not a function
[2025-09-01T00:52:16.134Z] ERROR: GET /api/reviews/vendor/12345 | Status: 500 | User: 68b4ee3a9841720bc89c9498 | AccountType: user | Message: next is not a function
[2025-09-01T00:52:16.154Z] ERROR: GET /api/reviews/vendor/12345 | Status: 500 | User: 68b4ee3a728438cdc7369d93 | AccountType: user | Message: next is not a function
[2025-09-01T00:52:16.189Z] ERROR: GET /api/bookmark | Status: 500 | User: 68b4ee3aa0b541b95103aacd | AccountType: user | Message: next is not a function
[2025-09-01T00:52:16.214Z] ERROR: GET /api/bookmark | Status: 500 | User: 68b4ee3aa0b541b95103aacb | AccountType: user | Message: next is not a function
[2025-09-01T00:52:16.219Z] ERROR: GET /api/reviews/vendor/12345 | Status: 500 | User: 68b4ee3a728438cdc7369d95 | AccountType: user | Message: next is not a function
[2025-09-01T00:52:16.220Z] ERROR: GET /api/bookmark | Status: 500 | User: 68b4ee3aa0b541b95103aad1 | AccountType: user | Message: next is not a function
[2025-09-01T00:52:16.214Z] ERROR: GET /api/reviews/vendor/12345 | Status: 500 | User: 68b4ee3a9841720bc89c949a | AccountType: user | Message: next is not a function
[2025-09-01T00:52:16.222Z] ERROR: GET /api/reviews/vendor/12345 | Status: 500 | User: 68b4ee3a9841720bc89c9495 | AccountType: user | Message: next is not a function
[2025-09-01T00:52:16.256Z] ERROR: GET /api/reviews/vendor/12345 | Status: 500 | User: 68b4ee3aa0b541b95103aacd | AccountType: user | Message: next is not a function
[2025-09-01T00:52:16.281Z] ERROR: GET /api/reviews/vendor/12345 | Status: 500 | User: 68b4ee3aa0b541b95103aacb | AccountType: user | Message: next is not a function
[2025-09-01T00:52:16.284Z] ERROR: GET /api/reviews/vendor/12345 | Status: 500 | User: 68b4ee3aa0b541b95103aad1 | AccountType: user | Message: next is not a function
[2025-09-01T00:52:20.550Z] ERROR: POST /api/auth/signup | Status: 500 | User: Guest | AccountType: N/A | Message: Data command failed: 550 5.7.0 Too many emails per second. Please upgrade your plan https://mailtrap.io/billing/plans/testing
[2025-09-01T00:52:20.573Z] ERROR: POST /api/auth/signup | Status: 500 | User: Guest | AccountType: N/A | Message: Data command failed: 550 5.7.0 Too many emails per second. Please upgrade your plan https://mailtrap.io/billing/plans/testing
[2025-09-01T00:52:20.785Z] ERROR: POST /api/auth/signup | Status: 500 | User: Guest | AccountType: N/A | Message: Data command failed: 550 5.7.0 Too many emails per second. Please upgrade your plan https://mailtrap.io/billing/plans/testing
[2025-09-01T00:52:20.839Z] ERROR: POST /api/auth/signup | Status: 500 | User: Guest | AccountType: N/A | Message: Data command failed: 550 5.7.0 Too many emails per second. Please upgrade your plan https://mailtrap.io/billing/plans/testing
[2025-09-01T00:52:20.840Z] ERROR: POST /api/auth/signup | Status: 500 | User: Guest | AccountType: N/A | Message: Data command failed: 550 5.7.0 Too many emails per second. Please upgrade your plan https://mailtrap.io/billing/plans/testing
[2025-09-01T00:52:21.025Z] ERROR: POST /api/auth/signup | Status: 500 | User: Guest | AccountType: N/A | Message: Data command failed: 550 5.7.0 Too many emails per second. Please upgrade your plan https://mailtrap.io/billing/plans/testing
[2025-09-01T00:52:21.136Z] ERROR: GET /api/bookmark | Status: 500 | User: 68b4ee4146ffd362b8167a35 | AccountType: user | Message: next is not a function
[2025-09-01T00:52:21.156Z] ERROR: GET /api/reviews/vendor/12345 | Status: 500 | User: 68b4ee4146ffd362b8167a35 | AccountType: user | Message: next is not a function
[2025-09-01T00:52:21.243Z] ERROR: POST /api/auth/signup | Status: 500 | User: Guest | AccountType: N/A | Message: Data command failed: 550 5.7.0 Too many emails per second. Please upgrade your plan https://mailtrap.io/billing/plans/testing
[2025-09-01T00:52:21.266Z] ERROR: POST /api/auth/signup | Status: 500 | User: Guest | AccountType: N/A | Message: Data command failed: 550 5.7.0 Too many emails per second. Please upgrade your plan https://mailtrap.io/billing/plans/testing
[2025-09-01T00:52:21.273Z] ERROR: POST /api/auth/signup | Status: 500 | User: Guest | AccountType: N/A | Message: Data command failed: 550 5.7.0 Too many emails per second. Please upgrade your plan https://mailtrap.io/billing/plans/testing
[2025-09-01T00:52:21.295Z] ERROR: POST /api/auth/signup | Status: 500 | User: Guest | AccountType: N/A | Message: Data command failed: 550 5.7.0 Too many emails per second. Please upgrade your plan https://mailtrap.io/billing/plans/testing
[2025-09-01T00:52:21.296Z] ERROR: POST /api/auth/signup | Status: 500 | User: Guest | AccountType: N/A | Message: Data command failed: 550 5.7.0 Too many emails per second. Please upgrade your plan https://mailtrap.io/billing/plans/testing
[2025-09-01T00:52:21.281Z] ERROR: POST /api/auth/signup | Status: 500 | User: Guest | AccountType: N/A | Message: Data command failed: 550 5.7.0 Too many emails per second. Please upgrade your plan https://mailtrap.io/billing/plans/testing
[2025-09-01T00:52:21.326Z] ERROR: GET /api/bookmark | Status: 500 | User: 68b4ee41d071118891a26360 | AccountType: user | Message: next is not a function
[2025-09-01T00:52:21.314Z] ERROR: POST /api/auth/signup | Status: 500 | User: Guest | AccountType: N/A | Message: Data command failed: 550 5.7.0 Too many emails per second. Please upgrade your plan https://mailtrap.io/billing/plans/testing
[2025-09-01T00:52:21.325Z] ERROR: POST /api/auth/signup | Status: 500 | User: Guest | AccountType: N/A | Message: Data command failed: 550 5.7.0 Too many emails per second. Please upgrade your plan https://mailtrap.io/billing/plans/testing
[2025-09-01T00:52:21.265Z] ERROR: POST /api/auth/signup | Status: 500 | User: Guest | AccountType: N/A | Message: Data command failed: 550 5.7.0 Too many emails per second. Please upgrade your plan https://mailtrap.io/billing/plans/testing
[2025-09-01T00:52:21.347Z] ERROR: GET /api/bookmark | Status: 500 | User: 68b4ee41d071118891a26364 | AccountType: user | Message: next is not a function
[2025-09-01T00:52:21.383Z] ERROR: GET /api/reviews/vendor/12345 | Status: 500 | User: 68b4ee41d071118891a26360 | AccountType: user | Message: next is not a function
[2025-09-01T00:52:21.408Z] ERROR: GET /api/reviews/vendor/12345 | Status: 500 | User: 68b4ee41d071118891a26364 | AccountType: user | Message: next is not a function
[2025-09-01T00:52:21.468Z] ERROR: GET /api/bookmark | Status: 500 | User: 68b4ee417f3ae8687c253d60 | AccountType: user | Message: next is not a function
[2025-09-01T00:52:21.484Z] ERROR: GET /api/bookmark | Status: 500 | User: 68b4ee417f3ae8687c253d5c | AccountType: user | Message: next is not a function
[2025-09-01T00:52:21.502Z] ERROR: GET /api/reviews/vendor/12345 | Status: 500 | User: 68b4ee417f3ae8687c253d60 | AccountType: user | Message: next is not a function
[2025-09-01T00:52:21.515Z] ERROR: GET /api/reviews/vendor/12345 | Status: 500 | User: 68b4ee417f3ae8687c253d5c | AccountType: user | Message: next is not a function
[2025-09-01T00:52:21.518Z] ERROR: POST /api/auth/signup | Status: 500 | User: Guest | AccountType: N/A | Message: Data command failed: 550 5.7.0 Too many emails per second. Please upgrade your plan https://mailtrap.io/billing/plans/testing
[2025-09-01T00:52:21.531Z] ERROR: POST /api/auth/signup | Status: 500 | User: Guest | AccountType: N/A | Message: Data command failed: 550 5.7.0 Too many emails per second. Please upgrade your plan https://mailtrap.io/billing/plans/testing
[2025-09-01T00:52:21.581Z] ERROR: GET /api/bookmark | Status: 500 | User: 68b4ee4146ffd362b8167a39 | AccountType: user | Message: next is not a function
[2025-09-01T00:52:21.600Z] ERROR: GET /api/reviews/vendor/12345 | Status: 500 | User: 68b4ee4146ffd362b8167a39 | AccountType: user | Message: next is not a function
[2025-09-01T00:52:21.648Z] ERROR: POST /api/auth/signup | Status: 500 | User: Guest | AccountType: N/A | Message: Data command failed: 550 5.7.0 Too many emails per second. Please upgrade your plan https://mailtrap.io/billing/plans/testing
[2025-09-01T00:52:21.877Z] ERROR: POST /api/auth/signup | Status: 500 | User: Guest | AccountType: N/A | Message: Data command failed: 550 5.7.0 Too many emails per second. Please upgrade your plan https://mailtrap.io/billing/plans/testing
[2025-09-01T00:52:21.886Z] ERROR: GET /api/bookmark | Status: 500 | User: 68b4ee41a93d47721967669d | AccountType: user | Message: next is not a function
[2025-09-01T00:52:21.905Z] ERROR: GET /api/bookmark | Status: 500 | User: 68b4ee4170792ac6e98e8554 | AccountType: user | Message: next is not a function
[2025-09-01T00:52:21.895Z] ERROR: POST /api/auth/signup | Status: 500 | User: Guest | AccountType: N/A | Message: Data command failed: 550 5.7.0 Too many emails per second. Please upgrade your plan https://mailtrap.io/billing/plans/testing
[2025-09-01T00:52:21.951Z] ERROR: GET /api/reviews/vendor/12345 | Status: 500 | User: 68b4ee41a93d47721967669d | AccountType: user | Message: next is not a function
[2025-09-01T00:52:21.961Z] ERROR: GET /api/bookmark | Status: 500 | User: 68b4ee4170792ac6e98e8558 | AccountType: user | Message: next is not a function
[2025-09-01T00:52:21.956Z] ERROR: GET /api/bookmark | Status: 500 | User: 68b4ee41a93d47721967669a | AccountType: user | Message: next is not a function
[2025-09-01T00:52:21.965Z] ERROR: GET /api/reviews/vendor/12345 | Status: 500 | User: 68b4ee4170792ac6e98e8554 | AccountType: user | Message: next is not a function
[2025-09-01T00:52:21.970Z] ERROR: GET /api/bookmark | Status: 500 | User: 68b4ee41a93d477219676695 | AccountType: user | Message: next is not a function
[2025-09-01T00:52:21.987Z] ERROR: GET /api/reviews/vendor/12345 | Status: 500 | User: 68b4ee4170792ac6e98e8558 | AccountType: user | Message: next is not a function
[2025-09-01T00:52:21.989Z] ERROR: GET /api/reviews/vendor/12345 | Status: 500 | User: 68b4ee41a93d47721967669a | AccountType: user | Message: next is not a function
[2025-09-01T00:52:22.005Z] ERROR: GET /api/reviews/vendor/12345 | Status: 500 | User: 68b4ee41a93d477219676695 | AccountType: user | Message: next is not a function
[2025-09-01T00:52:22.109Z] ERROR: GET /api/bookmark | Status: 500 | User: 68b4ee42a0b541b95103aaef | AccountType: user | Message: next is not a function
[2025-09-01T00:52:22.149Z] ERROR: GET /api/reviews/vendor/12345 | Status: 500 | User: 68b4ee42a0b541b95103aaef | AccountType: user | Message: next is not a function
[2025-09-01T00:52:22.152Z] ERROR: GET /api/bookmark | Status: 500 | User: 68b4ee42a0b541b95103aaed | AccountType: user | Message: next is not a function
[2025-09-01T00:52:22.158Z] ERROR: GET /api/bookmark | Status: 500 | User: 68b4ee429841720bc89c94b3 | AccountType: user | Message: next is not a function
[2025-09-01T00:52:22.160Z] ERROR: GET /api/bookmark | Status: 500 | User: 68b4ee41a0b541b95103aae9 | AccountType: user | Message: next is not a function
[2025-09-01T00:52:22.192Z] ERROR: GET /api/bookmark | Status: 500 | User: 68b4ee429841720bc89c94b5 | AccountType: user | Message: next is not a function
[2025-09-01T00:52:22.200Z] ERROR: GET /api/reviews/vendor/12345 | Status: 500 | User: 68b4ee42a0b541b95103aaed | AccountType: user | Message: next is not a function
[2025-09-01T00:52:22.216Z] ERROR: GET /api/bookmark | Status: 500 | User: 68b4ee429841720bc89c94b7 | AccountType: user | Message: next is not a function
[2025-09-01T00:52:22.215Z] ERROR: GET /api/reviews/vendor/12345 | Status: 500 | User: 68b4ee41a0b541b95103aae9 | AccountType: user | Message: next is not a function
[2025-09-01T00:52:22.220Z] ERROR: GET /api/reviews/vendor/12345 | Status: 500 | User: 68b4ee429841720bc89c94b3 | AccountType: user | Message: next is not a function
[2025-09-01T00:52:22.236Z] ERROR: GET /api/reviews/vendor/12345 | Status: 500 | User: 68b4ee429841720bc89c94b5 | AccountType: user | Message: next is not a function
[2025-09-01T00:52:22.251Z] ERROR: GET /api/reviews/vendor/12345 | Status: 500 | User: 68b4ee429841720bc89c94b7 | AccountType: user | Message: next is not a function
[2025-09-01T00:52:22.479Z] ERROR: GET /api/bookmark | Status: 500 | User: 68b4ee41728438cdc7369db5 | AccountType: user | Message: next is not a function
[2025-09-01T00:52:22.500Z] ERROR: GET /api/reviews/vendor/12345 | Status: 500 | User: 68b4ee41728438cdc7369db5 | AccountType: user | Message: next is not a function
[2025-09-01T00:52:22.502Z] ERROR: GET /api/bookmark | Status: 500 | User: 68b4ee41728438cdc7369db1 | AccountType: user | Message: next is not a function
[2025-09-01T00:52:22.507Z] ERROR: GET /api/bookmark | Status: 500 | User: 68b4ee41728438cdc7369db7 | AccountType: user | Message: next is not a function
[2025-09-01T00:52:22.519Z] ERROR: GET /api/reviews/vendor/12345 | Status: 500 | User: 68b4ee41728438cdc7369db1 | AccountType: user | Message: next is not a function
[2025-09-01T00:52:22.527Z] ERROR: GET /api/reviews/vendor/12345 | Status: 500 | User: 68b4ee41728438cdc7369db7 | AccountType: user | Message: next is not a function
[2025-09-01T00:52:25.979Z] ERROR: POST /api/auth/signup | Status: 500 | User: Guest | AccountType: N/A | Message: Data command failed: 550 5.7.0 Too many emails per second. Please upgrade your plan https://mailtrap.io/billing/plans/testing
[2025-09-01T00:52:26.347Z] ERROR: GET /api/bookmark | Status: 500 | User: 68b4ee4646ffd362b8167a47 | AccountType: user | Message: next is not a function
[2025-09-01T00:52:26.356Z] ERROR: GET /api/bookmark | Status: 500 | User: 68b4ee46d071118891a26377 | AccountType: user | Message: next is not a function
[2025-09-01T00:52:26.357Z] ERROR: GET /api/bookmark | Status: 500 | User: 68b4ee4646ffd362b8167a4d | AccountType: user | Message: next is not a function
[2025-09-01T00:52:26.368Z] ERROR: GET /api/bookmark | Status: 500 | User: 68b4ee46d071118891a26374 | AccountType: user | Message: next is not a function
[2025-09-01T00:52:26.372Z] ERROR: GET /api/reviews/vendor/12345 | Status: 500 | User: 68b4ee4646ffd362b8167a47 | AccountType: user | Message: next is not a function
[2025-09-01T00:52:26.382Z] ERROR: GET /api/reviews/vendor/12345 | Status: 500 | User: 68b4ee46d071118891a26377 | AccountType: user | Message: next is not a function
[2025-09-01T00:52:26.385Z] ERROR: GET /api/reviews/vendor/12345 | Status: 500 | User: 68b4ee4646ffd362b8167a4d | AccountType: user | Message: next is not a function
[2025-09-01T00:52:26.396Z] ERROR: GET /api/reviews/vendor/12345 | Status: 500 | User: 68b4ee46d071118891a26374 | AccountType: user | Message: next is not a function
[2025-09-01T00:52:26.402Z] ERROR: GET /api/bookmark | Status: 500 | User: 68b4ee467f3ae8687c253d73 | AccountType: user | Message: next is not a function
[2025-09-01T00:52:26.413Z] ERROR: GET /api/bookmark | Status: 500 | User: 68b4ee467f3ae8687c253d70 | AccountType: user | Message: next is not a function
[2025-09-01T00:52:26.425Z] ERROR: GET /api/reviews/vendor/12345 | Status: 500 | User: 68b4ee467f3ae8687c253d73 | AccountType: user | Message: next is not a function
[2025-09-01T00:52:26.435Z] ERROR: GET /api/reviews/vendor/12345 | Status: 500 | User: 68b4ee467f3ae8687c253d70 | AccountType: user | Message: next is not a function
[2025-09-01T00:52:26.494Z] ERROR: POST /api/auth/signup | Status: 500 | User: Guest | AccountType: N/A | Message: Data command failed: 550 5.7.0 Too many emails per second. Please upgrade your plan https://mailtrap.io/billing/plans/testing
[2025-09-01T00:52:26.505Z] ERROR: POST /api/auth/signup | Status: 500 | User: Guest | AccountType: N/A | Message: Data command failed: 550 5.7.0 Too many emails per second. Please upgrade your plan https://mailtrap.io/billing/plans/testing
[2025-09-01T00:52:26.563Z] ERROR: POST /api/auth/signup | Status: 500 | User: Guest | AccountType: N/A | Message: Data command failed: 550 5.7.0 Too many emails per second. Please upgrade your plan https://mailtrap.io/billing/plans/testing
[2025-09-01T00:52:26.633Z] ERROR: POST /api/auth/signup | Status: 500 | User: Guest | AccountType: N/A | Message: Data command failed: 550 5.7.0 Too many emails per second. Please upgrade your plan https://mailtrap.io/billing/plans/testing
[2025-09-01T00:52:26.678Z] ERROR: POST /api/auth/signup | Status: 500 | User: Guest | AccountType: N/A | Message: Data command failed: 550 5.7.0 Too many emails per second. Please upgrade your plan https://mailtrap.io/billing/plans/testing
[2025-09-01T00:52:26.689Z] ERROR: POST /api/auth/signup | Status: 500 | User: Guest | AccountType: N/A | Message: Data command failed: 550 5.7.0 Too many emails per second. Please upgrade your plan https://mailtrap.io/billing/plans/testing
[2025-09-01T00:52:26.683Z] ERROR: POST /api/auth/signup | Status: 500 | User: Guest | AccountType: N/A | Message: Data command failed: 550 5.7.0 Too many emails per second. Please upgrade your plan https://mailtrap.io/billing/plans/testing
