[2025-08-03T12:05:14.362Z] INFO: PUT /api/profile | Status: 404 | User: 6888e4bfce76584602ea026e | AccountType: vendor | Duration: 21ms
[2025-08-03T12:05:44.331Z] INFO: PUT /api/profile | Status: 404 | User: 6888e4bfce76584602ea026e | AccountType: vendor | Duration: 15ms
[2025-08-03T12:07:07.056Z] INFO: PUT /api/profile | Status: 404 | User: 6888e4bfce76584602ea026e | AccountType: vendor | Duration: 131ms
[2025-08-03T12:07:26.509Z] INFO: GET /api/profile | Status: 404 | User: 6888e4bfce76584602ea026e | AccountType: vendor | Duration: 19ms
[2025-08-03T12:08:21.765Z] INFO: DELETE /api/profile | Status: 404 | User: 6888e4bfce76584602ea026e | AccountType: vendor | Duration: 19ms
[2025-08-03T12:10:26.015Z] INFO: DELETE /api/profile | Status: 404 | User: 6888e4bfce76584602ea026e | AccountType: vendor | Duration: 63ms
[2025-08-03T12:11:18.314Z] INFO: POST /api/auth/login | Status: 200 | User: Guest | AccountType: N/A | Duration: 299ms
[2025-08-03T12:11:30.362Z] INFO: GET /api/profile | Status: 500 | User: 688917f26e0bc65bae76dd4b | AccountType: user | Duration: 61ms
[2025-08-03T12:12:17.909Z] INFO: GET /api/profile | Status: 200 | User: 688917f26e0bc65bae76dd4b | AccountType: user | Duration: 72ms
[2025-08-03T12:46:00.470Z] INFO: GET /api/profile | Status: 401 | User: Guest | AccountType: N/A | Duration: 49ms
[2025-08-03T12:47:14.208Z] INFO: GET /api/random | Status: 404 | User: Guest | AccountType: N/A | Duration: 8ms
[2025-08-03T12:49:39.973Z] INFO: PUT /api/profile | Status: 404 | User: 6888e4bfce76584602ea026e | AccountType: vendor | Duration: 131ms
[2025-08-03T12:51:03.791Z] INFO: PUT /api/profile | Status: 404 | User: 6888e4bfce76584602ea026e | AccountType: vendor | Duration: 69ms
[2025-08-03T12:51:14.468Z] INFO: GET /api/random | Status: 404 | User: Guest | AccountType: N/A | Duration: 4ms
[2025-08-03T12:51:28.089Z] INFO: GET /api/random | Status: 404 | User: Guest | AccountType: N/A | Duration: 1ms
